[00:01:32 - 00:01:32] hello everyone and thank you
[00:01:32 - 00:01:35] for tuning into hcctv stream
[00:01:35 - 00:01:38] of the board of trustee
[00:01:38 - 00:01:41] committee meetings for august 6th
[00:01:41 - 00:01:44] 2025 the meetings will begin
[00:01:44 - 00:01:47] at 1 so you've got
[00:01:47 - 00:01:47] time to relax and do
[00:01:47 - 00:01:49] a little bit more work
[00:01:49 - 00:01:49] and we'll be starting more
[00:06:26 - 00:24:52] work and we'll be starting
[00:29:29 - 00:29:31] shortly at at 10 01
[00:29:31 - 00:29:31] p m this meeting was
[00:29:31 - 00:29:33] called for the purposes listed
[00:29:33 - 00:29:35] on the duly posted meeting
[00:29:35 - 00:29:37] notice the other committee members
[00:29:37 - 00:29:40] are trustee sheban trustee linton
[00:29:40 - 00:29:40] gary and trustee as an
[00:29:40 - 00:29:43] alternate renee uh patterson a
[00:29:43 - 00:29:45] citizen desiring to appear before
[00:29:45 - 00:29:46] the board of trustees shall
[00:29:46 - 00:29:46] complete the hearing of citizen
[00:29:49 - 00:29:49] form 24 hours prior to
[00:29:49 - 00:29:51] the meeting and file set
[00:29:51 - 00:29:53] application with the board services
[00:29:53 - 00:29:53] office uh sharon can you
[00:29:55 - 00:29:55] confirm that no citizens are
[00:29:55 - 00:29:57] signed up to speak before
[00:29:57 - 00:29:58] the committee that is that
[00:29:58 - 00:30:01] is correct thank you okay
[00:30:01 - 00:30:01] we have uh topics for
[00:30:03 - 00:30:03] discussion and we will begin
[00:30:03 - 00:30:05] with item a which is
[00:30:05 - 00:30:09] the academic student uh supports
[00:30:09 - 00:30:09] and this report uh again
[00:30:09 - 00:30:11] is not an action item
[00:30:11 - 00:30:11] it is a report item
[00:30:11 - 00:30:14] dr uh ford fischer if
[00:30:14 - 00:30:15] uh you can introduce that
[00:30:15 - 00:30:17] item please thank you very
[00:30:17 - 00:30:19] much madam chair members of
[00:30:19 - 00:30:19] the board this is a
[00:30:19 - 00:30:22] discussion item that presents academic
[00:30:22 - 00:30:24] student support in many areas
[00:30:24 - 00:30:26] of the institution to include
[00:30:26 - 00:30:29] libraries tutoring services and digital
[00:30:29 - 00:30:31] access centers and with your
[00:30:31 - 00:30:31] permission madam chair dr norma
[00:30:34 - 00:30:34] perez will provide a brief
[00:30:34 - 00:30:37] overview and answer all questions
[00:30:37 - 00:30:38] dr perez senior vice chancellor
[00:30:38 - 00:30:40] of instruction and student services
[00:30:43 - 00:30:43] thank you chancellor excuse me
[00:30:43 - 00:30:44] uh good afternoon madam chair
[00:30:44 - 00:30:45] and good afternoon madam chair
[00:30:46 - 00:30:48] and trustees trustees as we
[00:30:48 - 00:30:49] continue to prioritize student success
[00:30:49 - 00:30:51] and learning within instructional services
[00:30:51 - 00:30:54] i am pleased to share
[00:30:54 - 00:30:56] updates regarding our academic instructional
[00:30:56 - 00:30:58] support services these services play
[00:30:58 - 00:31:00] a critical role in fostering
[00:31:00 - 00:31:01] a thriving educational fostering a
[00:31:01 - 00:31:02] thriving educational environment environment environment
[00:31:05 - 00:31:07] today today we will highlight
[00:31:07 - 00:31:07] and focus on three key
[00:31:09 - 00:31:09] areas identified by students as
[00:31:10 - 00:31:14] important to their academic achievements
[00:31:14 - 00:31:16] hc libraries tutoring services and
[00:31:16 - 00:31:19] the digital access centers these
[00:31:19 - 00:31:22] components constitute essential wraparound support
[00:31:22 - 00:31:24] ensuring students receive the necessary
[00:31:26 - 00:31:26] assistance to excel in their
[00:31:26 - 00:31:29] educational endeavors at this time
[00:31:29 - 00:31:31] i will ask the team
[00:31:31 - 00:31:31] members to please stand to
[00:31:31 - 00:31:33] be recognized uh in the
[00:31:33 - 00:31:35] audience we have the executive
[00:31:35 - 00:31:41] director of the library the
[00:31:41 - 00:31:43] director of tutoring amanda guerrero
[00:31:43 - 00:31:43] could not be with us
[00:31:43 - 00:31:45] today uh however her team
[00:31:45 - 00:31:45] is with us if her
[00:31:47 - 00:31:47] team will please stand please
[00:31:47 - 00:31:48] and be team will please
[00:31:48 - 00:31:49] stand please and be recognized
[00:31:49 - 00:31:57] recognized recognized the libraries are
[00:31:57 - 00:31:59] key areas for our students
[00:31:59 - 00:32:00] and community members to congregate
[00:32:00 - 00:32:03] and benefit from the resources
[00:32:03 - 00:32:06] afforded to all stakeholders in
[00:32:06 - 00:32:06] addition to providing affordable uh
[00:32:09 - 00:32:09] providing um in addition to
[00:32:09 - 00:32:11] providing a studentoriented space for
[00:32:11 - 00:32:15] students to work to do
[00:32:15 - 00:32:15] work in the libraries we
[00:32:16 - 00:32:16] also provide services to support
[00:32:16 - 00:32:20] the classroom library services are
[00:32:20 - 00:32:22] keen on assessing data and
[00:32:22 - 00:32:25] this is evident in the
[00:32:25 - 00:32:25] increased number of library webpage
[00:32:27 - 00:32:28] views and database downloads both
[00:32:31 - 00:32:31] library web views and database
[00:32:31 - 00:32:33] downloads are up from the
[00:32:33 - 00:32:35] previous academic year as you
[00:32:35 - 00:32:35] can tell by this slide
[00:32:35 - 00:32:38] the librarians are instrumental in
[00:32:38 - 00:32:39] providing library instruction where they
[00:32:39 - 00:32:41] hold interactive learning sessions to
[00:32:41 - 00:32:43] help students learn how to
[00:32:43 - 00:32:47] use the library resources how
[00:32:47 - 00:32:49] to site appropriately and to
[00:32:49 - 00:32:49] help with any research questions
[00:32:52 - 00:32:52] additionally the team understands the
[00:32:55 - 00:32:55] value of continuous improvement the
[00:32:57 - 00:32:57] team has effectively created an
[00:32:57 - 00:32:58] team has effectively created an
[00:32:58 - 00:33:01] interactive interactive uh chat box
[00:33:01 - 00:33:02] and are intentionally increasing their
[00:33:02 - 00:33:07] understanding of artificial intelligence to
[00:33:07 - 00:33:07] further the request for continuous
[00:33:09 - 00:33:09] improvement the library will implement
[00:33:12 - 00:33:12] a new library management system
[00:33:12 - 00:33:14] that was approved by the
[00:33:14 - 00:33:14] board a while back that
[00:33:17 - 00:33:17] will approve the students user
[00:33:17 - 00:33:20] interface and will continue to
[00:33:20 - 00:33:22] review library survey results and
[00:33:22 - 00:33:26] make any changes warranted from
[00:33:26 - 00:33:28] the library survey tutoring is
[00:33:28 - 00:33:30] also experiencing significant increases in
[00:33:30 - 00:33:33] visits tutoring sessions and tutoring
[00:33:33 - 00:33:36] hours the success rates of
[00:33:36 - 00:33:39] these students of those students
[00:33:39 - 00:33:41] who attend tutoring are generally
[00:33:41 - 00:33:41] higher than those students who
[00:33:43 - 00:33:47] do not math results are
[00:33:47 - 00:33:49] interesting we are actually encouraged
[00:33:49 - 00:33:51] by the numbers because we
[00:33:51 - 00:33:53] believe that the math students
[00:33:53 - 00:33:55] attending these sessions are those
[00:33:55 - 00:33:55] who really need the assistance
[00:33:55 - 00:33:58] we have been able to
[00:33:58 - 00:34:00] help many students be successful
[00:34:00 - 00:34:03] as you might suspect students
[00:34:03 - 00:34:03] need more help in english
[00:34:03 - 00:34:07] and mathematic courses dr pettis
[00:34:07 - 00:34:07] the i can't see the
[00:34:07 - 00:34:10] bottom but what is your
[00:34:10 - 00:34:12] source for this data the
[00:34:12 - 00:34:12] tutoring the the source is
[00:34:12 - 00:34:14] the uh the stu the
[00:34:14 - 00:34:16] the tutoring academic database that
[00:34:16 - 00:34:18] they have and then h
[00:34:18 - 00:34:18] how do we come up
[00:34:18 - 00:34:20] with these numbers in that
[00:34:20 - 00:34:22] database like are these tests
[00:34:22 - 00:34:22] that they take are they
[00:34:22 - 00:34:25] what what is this what
[00:34:25 - 00:34:27] is the instrument it's it's
[00:34:27 - 00:34:27] uh it's the results of
[00:34:27 - 00:34:32] their their their um the
[00:34:32 - 00:34:32] students who took these um
[00:34:35 - 00:34:35] the students who were in
[00:34:35 - 00:34:37] tutoring and these are the
[00:34:37 - 00:34:40] results of the courses that
[00:34:40 - 00:34:40] they were enrolled in at
[00:34:40 - 00:34:40] the time that they were
[00:34:41 - 00:34:41] enrolled in at the time
[00:34:42 - 00:34:49] okay okay i'd like that
[00:34:51 - 00:34:51] i mean the important part
[00:34:51 - 00:34:53] here for me um as
[00:34:53 - 00:34:53] the chair of this committee
[00:34:53 - 00:34:55] is and and i'm sure
[00:34:55 - 00:34:55] for my my members is
[00:34:56 - 00:34:59] okay the the source of
[00:34:59 - 00:34:59] the data and you know
[00:35:01 - 00:35:01] yeah what we're looking at
