[00:00 - 00:01] we are constantly looking at
[00:01 - 00:02] the future looking at the
[00:02 - 00:04] future looking at the future
[00:04 - 00:05] looking at the future looking
[00:05 - 00:06] at the future that's what
[00:07 - 00:08] we're looking at and that's
[00:09 - 00:10] what we're looking at well
[00:10 - 00:11] we have to go to
[00:12 - 00:13] the final level and from
[00:13 - 00:15] the final level i think
[00:15 - 00:17] change is very very very
[00:18 - 00:19] important we don't want to
[00:19 - 00:20] lose the final level the
[00:20 - 00:22] final level is where we
[00:22 - 00:23] start to go and it's
[00:24 - 00:25] good timing to do it
[00:25 - 00:27] this one here is pretty
[00:27 - 00:28] strong now so i'm going
[00:29 - 00:30] to do a little bit
[00:31 - 00:32] of a test so i
[00:32 - 00:34] think i just want to
[00:34 - 00:36] make sure that you know
[00:36 - 00:37] i'm going to show you
[00:37 - 00:38] how to do this so
[00:38 - 00:40] let's just say that i'm
[00:40 - 00:42] going to put some of
[00:42 - 00:43] this in here and i'm
[00:44 - 00:46] going to put this in
[00:46 - 00:48] here i'm going to put
[00:48 - 00:50] this in here so i'm
[00:50 - 00:51] going to just put this
[00:51 - 00:52] in here and so i'm
[00:52 - 00:53] just going to put this
[00:54 - 00:55] in here i'm going to
[00:55 - 00:57] put this in here and
[00:57 - 00:58] then of course we're going
[00:58 - 00:59] to have to make some
[00:59 - 01:00] big steps to set up
[01:01 - 01:01] for the beginning and then
[01:02 - 01:03] a little bit later we'll
[01:04 - 01:05] have to find out how
[01:06 - 01:07] we can probably set up
[01:07 - 01:09] yeah i should get a
[01:09 - 01:11] membership or what that is
[01:11 - 01:15] everybody's a champion yeah i
[01:16 - 01:18] think that's it i think
[01:18 - 01:20] that's it i think that's
[01:21 - 01:23] it i think that's it
[01:23 - 01:25] see the air is a
[01:25 - 01:27] little bit replaceable a little
[01:27 - 01:28] bit that's why we wanted
[01:29 - 01:30] to make that second one
[01:30 - 01:32] more a little bit more
[01:32 - 01:33] flexible so this is a
[01:33 - 01:34] commercial air and you're gonna
[01:34 - 01:35] have to do right there's
