[00:00:00 - 00:00:02] you've been doing it's valuable
[00:00:02 - 00:00:05] and burns a lot of
[00:00:05 - 00:00:06] so energy if you're going
[00:00:07 - 00:00:08] to have your business you're
[00:00:08 - 00:00:10] going to want to build
[00:00:10 - 00:00:11] in a sense of confidence
[00:00:11 - 00:00:13] because you're building your business
[00:00:13 - 00:00:14] to a point where it's
[00:00:15 - 00:00:16] going to burn a lot
[00:00:16 - 00:00:19] of energy that's what i'm
[00:00:20 - 00:00:22] talking about here i think
[00:00:22 - 00:00:23] that the question of the
[00:00:23 - 00:00:24] literature is definitely one that
[00:00:25 - 00:00:25] i want to address and
[00:00:26 - 00:00:27] i think that's why i'm
[00:00:27 - 00:00:28] showing you a collection of
[00:00:29 - 00:00:30] the new works that are
[00:00:30 - 00:00:31] coming out this year of
[00:00:32 - 00:00:33] the us government and the
[00:00:34 - 00:00:35] us government i think that
[00:00:35 - 00:00:36] the same thing that i'm
[00:00:36 - 00:00:37] going to tell you is
[00:00:37 - 00:00:38] that the literature is about
[00:00:38 - 00:00:40] people and it's not just
[00:00:40 - 00:00:42] about people it's more about
[00:00:42 - 00:00:43] people the public opinion of
[00:00:44 - 00:00:45] the american people is really
[00:00:45 - 00:00:46] important and we've had a
[00:00:46 - 00:00:47] lot of good work that's
[00:00:47 - 00:00:48] been done so we're really
[00:00:48 - 00:00:49] happy to be here and
[00:00:50 - 00:00:51] if you have any questions
[00:00:51 - 00:00:53] we're happy to be here
[00:00:53 - 00:00:54] and i think we're going
[00:00:55 - 00:00:55] to end it here but
[00:00:56 - 00:00:57] if there's any questions you'd
[00:00:57 - 00:00:58] like to ask please do
[00:00:58 - 00:00:59] so in the q a
[00:00:59 - 00:01:01] box and i hope you
[00:01:01 - 00:01:03] enjoyed this thank you dr
[00:01:04 - 00:01:05] craig do you want to
[00:01:05 - 00:01:07] tell the audience about your
[00:01:07 - 00:01:09] project i think we're really
[00:01:09 - 00:01:11] looking at how we're going
[00:01:11 - 00:01:12] to address the current problems
[00:01:13 - 00:01:14] of covid-19 and if you
[00:01:15 - 00:01:16] have any questions i think
[00:01:16 - 00:01:18] we've got around 30 questions
[00:01:18 - 00:01:19] so if we could open
[00:01:19 - 00:01:21] and see who's getting questions
[00:01:21 - 00:01:22] so and one of them
[00:01:23 - 00:01:24] was a question from john
