[00:08:29 - 00:08:29] my name is brian hagerty
[00:08:29 - 00:08:31] i'm the chair of the
[00:08:31 - 00:08:31] el paso community college board
[00:08:34 - 00:08:34] of trustees i want i
[00:08:34 - 00:08:37] want to welcome everybody to
[00:08:37 - 00:08:37] our special meeting uh everybody
[00:08:38 - 00:08:39] to our special meeting uh
[00:08:39 - 00:08:42] today today uh the board
[00:08:42 - 00:08:42] board of trustees of the
[00:08:46 - 00:08:46] community college will uh meet
[00:08:46 - 00:08:51] and you can follow along
[00:08:51 - 00:08:51] on youtube at https can
[00:08:52 - 00:08:55] follow along on youtube at
[00:08:55 - 00:08:58] https www youtube com usergoepcc
[00:09:00 - 00:09:00] want to welcome everyone here
[00:09:00 - 00:09:02] uh belle can you take
[00:09:02 - 00:09:04] the role please yes sir
[00:09:04 - 00:09:05] mrs robiss yes sir mrs
[00:09:05 - 00:09:06] robiss here here mr mr
[00:09:06 - 00:09:07] uxer mr mr uxer here
[00:09:07 - 00:09:09] here miss naha is running
[00:09:09 - 00:09:09] a little late mrs miss
[00:09:09 - 00:09:10] naha is running a little
[00:09:10 - 00:09:10] late mrs moy moy moy
[00:09:11 - 00:09:12] here here mr mendes mr
[00:09:12 - 00:09:14] mendes here here mr hagerty
[00:09:14 - 00:09:18] mr hagerty here here dr
[00:09:18 - 00:09:18] graham will not be in
[00:09:18 - 00:09:20] attendance we have anything for
[00:09:20 - 00:09:21] open forum we do not
[00:09:21 - 00:09:23] judge okay can you read
[00:09:23 - 00:09:25] uh we're going to jump
[00:09:25 - 00:09:27] down to 5 4 read
[00:09:27 - 00:09:29] that please bill item 5
[00:09:29 - 00:09:29] 4 discussion and take possible
[00:09:31 - 00:09:31] action on proposed policy for
[00:09:31 - 00:09:34] adoption on first reading to
[00:09:34 - 00:09:36] recognize the epcc faculty senate
[00:09:36 - 00:09:38] and ensure compliance with the
[00:09:38 - 00:09:41] requirements of texas senate bill
[00:09:41 - 00:09:41] 37 it should read 89th
